This data file provides the observational data behind Figure 7.13,,,,,,,,,,,
LGM,SST,-12.5,-42.5,1.8504,0.65682,1.8504,0.65682,3.92972,3.92972,3.418059349,"3.4180593490600586,"
LGM,SST,-12.5,-7.5,0.69032,0.726553,0.69032,0.726553,2.91861,2.91861,2.924552917,"2.9245529174804688,"
LGM,SST,-12.5,-2.5,2.33814,0.324317,2.33814,0.324317,3.06068,3.06068,2.942533493,"2.942533493041992,"
LGM,SST,-12.5,2.5,4.66121,1.40412,4.66121,1.40412,2.99462,2.99462,2.934976578,"2.934976577758789,"
LGM,SST,-12.5,32.5,3.991,0.507045,3.991,0.507045,3.8583,3.8583, nan,"nan,"
LGM,SST,-12.5,37.5,3.19226,0.326559,3.19226,0.326559,4.25855,4.25855,4.83117485,"4.831174850463867,"
LGM,SST,-12.5,42.5,3.92578,0.59941,3.92578,0.59941,4.82793,4.82793, nan,"nan,"
LGM,SST,-12.5,57.5,8.40533,0.663457,8.40533,0.663457,4.42371,4.42371,6.973686218,"6.973686218261719,"
LGM,SST,-12.5,62.5,-2.09689,0.317694,-2.09689,0.317694,5.0935,5.0935,5.497750282,"5.497750282287598,"
LGM,SST,-12.5,67.5,-0.883908,0.272963,-0.883908,0.272963,2.46526,2.46526,4.300013065,"4.300013065338135,"
LGM,SST,-12.5,72.5,0.421889,0.297057,0.421889,0.297057,1.40016,1.40016,2.720683575,"2.7206835746765137,"
LGM,SST,-7.5,-2.5,4.65265,1.21402,4.65265,1.21402,3.0514,3.0514,2.942533493,"2.942533493041992,"
LGM,SST,-7.5,37.5,3.30384,0.240417,3.30384,0.240417,2.72313,4.41321,4.83117485,"4.831174850463867,"
LGM,SST,-7.5,47.5,7.03178,0.756343,7.03178,0.756343,5.28114,5.05491, nan,"nan,"
LGM,SST,-7.5,62.5,-0.472586,0.516157,-0.472586,0.516157,5.00927,5.02759,5.497750282,"5.497750282287598,"
LGM,SST,-7.5,67.5,-0.325763,0.329626,-0.325763,0.329626,3.17236,3.17236,4.300013065,"4.300013065338135,"
LGM,SST,-7.5,72.5,-3.08863,0.401854,-3.08863,0.401854,1.85529,1.85529,2.720683575,"2.7206835746765137,"
LGM,SST,-2.5,37.5,5.78992,0.3403,5.78992,0.3403,4.39113,4.41321,4.83117485,"4.831174850463867,"
LGM,SST,-2.5,62.5,5.34526,0.266947,5.34526,0.266947,5.3948,5.1732,5.497750282,"5.497750282287598,"
LGM,SST,-2.5,67.5,6.77328,0.579548,6.77328,0.579548,3.81889,3.81889,4.300013065,"4.300013065338135,"
LGM,SST,-2.5,72.5,0.806912,0.251765,0.806912,0.251765,2.42024,2.42024,2.720683575,"2.7206835746765137,"
LGM,SST,-2.5,77.5,-0.606116,0.370336,-0.606116,0.370336,0.761647,0.761647,1.270945191,"1.2709451913833618,"
LGM,SST,2.5,2.5,4.78223,0.41809,4.78223,0.41809,2.84188,2.84188,2.841876984,"2.801900863647461,"
LGM,SST,2.5,37.5,4.64481,0.812576,4.64481,0.812576,4.84259,5.3094,4.842591286,"4.9119062423706055,"
LGM,SST,2.5,42.5,7.01084,0.528495,7.01084,0.528495,6.23067,5.58674, nan,"6.230672836303711,"
LGM,SST,2.5,62.5,4.32818,0.310613,4.32818,0.310613,9.95519,5.63706,9.95519352,"nan,"
LGM,SST,2.5,67.5,6.20242,0.212247,6.20242,0.212247,4.82899,4.82899,4.828988552,"4.749575614929199,"
LGM,SST,2.5,72.5,2.28311,0.376533,2.28311,0.376533,3.23914,3.23914,3.239144802,"3.409532070159912,"
LGM,SST,2.5,77.5,0.819661,0.295451,0.819661,0.295451,1.7833,1.7833,1.783302307,"1.9035652875900269,"
LGM,SST,2.5,82.5,1.5855,0.733594,1.5855,0.733594,0.0858445,0.0858445,0.085844517,"0.08296501636505127,"
LGM,SST,7.5,-42.5,-0.984562,0.419756,-0.984562,0.419756,3.91591,3.91591,3.915913582,"3.903125286102295,"
LGM,SST,7.5,-22.5,3.38198,0.418276,3.38198,0.418276,2.94922,2.94922,2.949224472,"3.043947219848633,"
LGM,SST,7.5,-7.5,4.28994,1.1342,4.28994,1.1342,2.88266,2.88842,2.882661819,"2.8504257202148438,"
LGM,SST,7.5,-2.5,1.50295,0.61813,1.50295,0.61813,2.85504,2.82198,2.855035782,"2.2615108489990234,"
LGM,SST,7.5,2.5,2.85209,0.349917,2.85209,0.349917,2.86617,2.75765,2.866168976,"1.7836647033691406,"
LGM,SST,7.5,67.5,5.73647,0.28656,5.73647,0.28656,4.02979,4.95775,4.029789448,"3.34147572517395,"
LGM,SST,7.5,72.5,2.71465,0.298721,2.71465,0.298721,3.89263,3.89263,3.892626047,"4.030685901641846,"
LGM,SST,7.5,77.5,0.918332,0.332053,0.918332,0.332053,1.1998,1.77818,1.199799299,"1.0855196714401245,"
LGM,SST,7.5,82.5,1.98179,0.548178,1.98179,0.548178,0.0585995,0.0585995,0.058599472,"0.0574415922164917,"
LGM,SST,12.5,-27.5,2.76531,0.524495,2.76531,0.524495,3.1189,3.1189,3.118902206,"3.0370664596557617,"
LGM,SST,12.5,-22.5,4.24031,0.358457,4.24031,0.358457,3.58722,3.03744,3.58722496,"1.1486701965332031,"
LGM,SST,12.5,-17.5,3.00687,0.397869,3.00687,0.397869,3.68849,2.78447, nan,"nan,"
LGM,SST,12.5,-12.5,2.79678,0.682109,2.79678,0.682109,1.46972,2.72606,1.46972084,"nan,"
LGM,SST,12.5,-7.5,2.97911,0.697662,2.97911,0.697662,1.49176,2.74073,1.491764069,"nan,"
LGM,SST,12.5,37.5,6.05266,0.240546,6.05266,0.240546,4.30459,5.38921,4.304591179,"3.714146614074707,"
LGM,SST,12.5,42.5,6.23241,0.73388,6.23241,0.73388,6.09346,5.47553, nan,"nan,"
LGM,SST,12.5,72.5,4.99357,0.237971,4.99357,0.237971,4.55195,4.55195,4.551949501,"4.535656929016113,"
LGM,SST,17.5,-32.5,1.42587,0.523876,1.42587,0.523876,2.49662,3.03905,2.496616364,"nan,"
LGM,SST,17.5,37.5,6.44325,0.541326,6.44325,0.541326,4.69541,4.68652,4.695407867,"4.643499374389648,"
LGM,SST,17.5,42.5,6.54643,0.404618,6.54643,0.404618,5.72079,5.47553,5.720793724,"nan,"
LGM,SST,17.5,82.5,0.836042,0.723086,0.836042,0.723086,0.0510032,0.0806874,0.051003218,"0.048581838607788086,"
LGM,SST,22.5,32.5,5.80415,0.728306,5.80415,0.728306,4.46857,4.49405, nan,"nan,"
LGM,SST,27.5,32.5,2.99447,0.724325,2.99447,0.724325,4.11852,4.22852,4.118515015,"4.085880279541016,"
LGM,SST,32.5,-32.5,3.75046,0.969354,3.75046,0.969354,2.6131,2.39826,2.613101959,"2.366121292114258,"
LGM,SST,32.5,27.5,5.05704,1.14625,5.05704,1.14625,1.66934,4.1172, nan,"nan,"
LGM,SST,32.5,32.5,8.38156,0.385897,8.38156,0.385897,4.14096,4.1172,4.140964508,"4.022336959838867,"
LGM,SST,37.5,-22.5,2.68321,0.864952,2.68321,0.864952,2.3498,2.3498,2.349796295,"2.3813343048095703,"
LGM,SST,37.5,-17.5,1.40738,0.5783,1.40738,0.5783,2.60267,2.36709, nan,"2.223175048828125,"
LGM,SST,37.5,-7.5,2.72601,0.50611,2.72601,0.50611,1.59029,2.45758, nan,"nan,"
LGM,SST,37.5,-2.5,1.74341,0.526887,1.74341,0.526887,1.54414,2.43081, nan,"nan,"
LGM,SST,42.5,2.5,3.94995,0.51021,3.94995,0.51021,3.09715,2.60306, nan,"nan,"
LGM,SST,42.5,12.5,2.61525,0.343864,2.61525,0.343864,3.17527,2.82667, nan,"3.175273895263672,"
LGM,SST,42.5,82.5,0.797017,0.743781,0.797017,0.743781,-0.121898,0.0727626,-0.121898293,"-0.10536324977874756,"
LGM,SST,52.5,-42.5,2.66869,0.424662,2.66869,0.424662,2.95143,2.95143,2.951429367,"2.9203710556030273,"
LGM,SST,52.5,-12.5,-0.592868,0.509613,-0.592868,0.509613,2.45701,2.45701,2.457010269,"2.4993667602539062,"
LGM,SST,52.5,2.5,3.68062,0.872553,3.68062,0.872553,2.77716,2.77716,2.777158737,"2.76043701171875,"
LGM,SST,52.5,12.5,1.32424,0.397931,1.32424,0.397931,2.16788,2.80738,2.167882919,"2.2418556213378906,"
LGM,SST,57.5,12.5,1.90329,0.284936,1.90329,0.284936,2.97021,2.97021,2.970209122,"2.9840221405029297,"
LGM,SST,57.5,17.5,5.2428,0.449864,5.2428,0.449864,3.04584,2.9654,3.045841217,"3.003061294555664,"
LGM,SST,57.5,22.5,3.49142,0.58559,3.49142,0.58559,7.54448,2.92238, nan,"nan,"
LGM,SST,62.5,7.5,0.707694,0.387236,0.707694,0.387236,2.75143,2.75143,2.751432419,"2.7341156005859375,"
LGM,SST,62.5,12.5,-0.0162769,0.604689,-0.0162769,0.604689,2.98318,2.98318,2.983179092,"2.9797515869140625,"
LGM,SST,62.5,17.5,1.76171,0.975403,1.76171,0.975403,3.10675,3.10675,3.106752396,"3.104909896850586,"
LGM,SST,62.5,22.5,4.41197,0.584341,4.41197,0.584341,3.0486,3.0486,3.048601151,"3.044027328491211,"
LGM,SST,67.5,-52.5,3.19236,1.06104,3.19236,1.06104,3.16236,3.16236,3.162356853,"3.187199592590332,"
LGM,SST,67.5,2.5,1.46938,0.508587,1.46938,0.508587,2.55417,2.55417,2.554174423,"2.5408477783203125,"
LGM,SST,67.5,17.5,3.45339,0.322469,3.45339,0.322469,2.86767,3.02938,2.867673874,"2.7981910705566406,"
LGM,SST,67.5,22.5,6.01059,0.443002,6.01059,0.443002,3.59795,3.03361,3.597949982,"nan,"
LGM,SST,72.5,-57.5,1.37934,0.822453,1.37934,0.822453,1.9865,1.9865,1.98649931,"1.851336121559143,"
LGM,SST,72.5,7.5,1.74017,0.517879,1.74017,0.517879,2.54181,2.54181,2.541805267,"2.5260448455810547,"
LGM,SST,72.5,12.5,2.53853,0.387392,2.53853,0.387392,2.60676,2.66442,2.606761932,"3.0072383880615234,"
LGM,SST,72.5,17.5,3.82598,1.12854,3.82598,1.12854,2.93985,2.68991, nan,"nan,"
LGM,SST,77.5,-42.5,2.59376,0.433708,2.59376,0.433708,3.62483,3.62483,3.624825954,"3.6674795150756836,"
LGM,SST,77.5,7.5,3.05271,0.475001,3.05271,0.475001,3.16487,2.56838,3.164867401,"3.196483612060547,"
LGM,SST,77.5,12.5,2.32956,1.16403,2.32956,1.16403,2.21255,2.55152, nan,"nan,"
LGM,SST,87.5,-47.5,2.25285,0.384478,2.25285,0.384478,3.70139,3.70139,3.701386929,"3.6464195251464844,"
LGM,SST,87.5,17.5,-0.396476,1.66985,-0.396476,1.66985,2.30249,2.30249,2.302494049,"2.2955780029296875,"
LGM,SST,92.5,-47.5,3.51567,0.680974,3.51567,0.680974,3.66029,3.66029,3.660288572,"3.6725034713745117,"
LGM,SST,92.5,7.5,0.0497792,0.696759,0.0497792,0.696759,2.54238,2.54238,2.542383194,"2.5720691680908203,"
LGM,SST,92.5,12.5,2.69398,0.312267,2.69398,0.312267,2.39241,2.39241,2.392406464,"2.3665771484375,"
LGM,SST,92.5,17.5,2.61147,0.841076,2.61147,0.841076,2.3261,2.28405,2.326097488,"2.7498035430908203,"
LGM,SST,97.5,-47.5,3.50951,0.39792,3.50951,0.39792,3.77555,3.77555,3.775546074,"3.7785394191741943,"
LGM,SST,97.5,-2.5,3.32057,0.524018,3.32057,0.524018,2.56281,2.55683,2.562810898,"2.553689956665039,"
LGM,SST,97.5,2.5,2.78175,0.414835,2.78175,0.414835,2.60963,2.59892, nan,"nan,"
LGM,SST,97.5,12.5,3.42817,0.610533,3.42817,0.610533,2.29103,2.39241, nan,"nan,"
LGM,SST,102.5,-7.5,3.05255,0.413147,3.05255,0.413147,2.60184,2.60184,2.60184288,"2.6645069122314453,"
LGM,SST,102.5,-2.5,2.90068,0.505444,2.90068,0.505444,1.98281,2.53621, nan,"nan,"
LGM,SST,107.5,7.5,3.57125,0.383694,3.57125,0.383694,2.75765,2.89502, nan,"2.7576541900634766,"
LGM,SST,112.5,-32.5,-2.08996,1.23778,-2.08996,1.23778,3.06622,2.93112,3.066223145,"3.2706375122070312,"
LGM,SST,112.5,-27.5,0.00952648,0.816513,0.00952648,0.816513,2.46916,2.59475,2.469163895,"nan,"
LGM,SST,112.5,-22.5,0.547014,0.545214,0.547014,0.545214,2.89476,2.55046,2.894756317,"nan,"
LGM,SST,112.5,-7.5,2.32071,0.519609,2.32071,0.519609,3.58094,2.46597, nan,"nan,"
LGM,SST,112.5,7.5,1.95313,0.358943,1.95313,0.358943,2.92532,2.89502,2.925321579,"2.815122604370117,"
LGM,SST,112.5,12.5,1.94499,0.378063,1.94499,0.378063,2.93903,2.93903,2.939029694,"2.925355911254883,"
LGM,SST,112.5,17.5,2.8935,0.396784,2.8935,0.396784,2.87402,2.87402,2.87402153,"2.8845367431640625,"
LGM,SST,117.5,-17.5,2.42936,0.411625,2.42936,0.411625,2.4396,2.4396,2.439596176,"2.5224571228027344,"
LGM,SST,117.5,-7.5,3.10431,0.361113,3.10431,0.361113,2.08208,2.46529,2.082080841,"2.1639175415039062,"
LGM,SST,117.5,-2.5,3.24208,0.497486,3.24208,0.497486,2.98231,2.30327,2.982307434,"2.5631790161132812,"
LGM,SST,117.5,2.5,3.23001,0.489989,3.23001,0.489989,3.72902,2.59517, nan,"2.181201934814453,"
LGM,SST,117.5,12.5,0.348129,0.430758,0.348129,0.430758,2.71089,2.81565,2.710891724,"2.692342758178711,"
LGM,SST,117.5,17.5,2.59344,0.279364,2.59344,0.279364,2.72311,2.8196,2.723110199,"2.7149600982666016,"
LGM,SST,117.5,22.5,3.27499,0.420173,3.27499,0.420173,3.33239,2.68316,3.332387924,"2.8897552490234375,"
LGM,SST,122.5,-12.5,2.59345,0.174126,2.59345,0.174126,2.2058,2.27544,2.205797195,"2.506265640258789,"
LGM,SST,122.5,-7.5,2.19109,0.504044,2.19109,0.504044,2.07058,2.2705,2.070577621,"2.0376644134521484,"
LGM,SST,122.5,7.5,0.50902,0.603828,0.50902,0.603828,1.61769,2.51736,1.617692947,"nan,"
LGM,SST,127.5,-12.5,2.4545,0.485388,2.4545,0.485388,1.98092,2.20355, nan,"nan,"
LGM,SST,127.5,-7.5,2.8527,0.249107,2.8527,0.249107,1.91557,2.07262,1.91557312,"1.9560794830322266,"
LGM,SST,127.5,7.5,3.27363,0.345578,3.27363,0.345578,2.69882,2.69882,2.698818207,"2.7034912109375,"
LGM,SST,127.5,27.5,1.33893,0.519909,1.33893,0.519909,2.93429,2.93429,2.934293747,"2.843473434448242,"
LGM,SST,127.5,32.5,5.11771,0.394044,5.11771,0.394044,3.4566,3.52003,3.456600189,"3.5512428283691406,"
LGM,SST,132.5,-7.5,2.45716,0.506501,2.45716,0.506501,1.95629,2.01388,1.956293106,"nan,"
LGM,SST,132.5,37.5,-4.75813,0.717211,-4.75813,0.717211,7.0165,7.0165,7.01650238,"6.94930362701416,"
LGM,SST,132.5,42.5,-14.0386,0.732035,-14.0386,0.732035,5.42548,6.36167,5.425475597,"5.925389766693115,"
LGM,SST,137.5,-37.5,6.82736,0.348822,6.82736,0.348822,3.71308,3.31112,3.713077545,"2.89882755279541,"
LGM,SST,137.5,32.5,1.47452,0.695323,1.47452,0.695323,2.85391,2.85391,2.853912354,"2.8554344177246094,"
LGM,SST,137.5,37.5,-2.10013,0.721521,-2.10013,0.721521,2.10419,6.88763,2.104187965,"nan,"
LGM,SST,142.5,-2.5,2.0362,0.731023,2.0362,0.731023,3.15765,2.60436,3.157648087,"2.6194190979003906,"
LGM,SST,142.5,2.5,-0.865606,0.903283,-0.865606,0.903283,2.55539,2.55539,2.555393219,"2.5502471923828125,"
LGM,SST,142.5,37.5,3.67359,0.361506,3.67359,0.361506,3.71517,3.71517,3.715166092,"3.5811681747436523,"
LGM,SST,142.5,42.5,3.23431,0.495958,3.23431,0.495958,9.94574,6.1622,9.945736885,"9.184732437133789,"
LGM,SST,147.5,-47.5,3.37084,0.743909,3.37084,0.743909,3.14632,3.14632,3.146319389,"3.0365452766418457,"
LGM,SST,147.5,-12.5,1.56695,0.482875,1.56695,0.482875,2.45537,2.45537,2.455366135,"2.553152084350586,"
LGM,SST,147.5,2.5,0.181381,0.7187,0.181381,0.7187,2.55687,2.55687,2.556865692,"2.5523529052734375,"
LGM,SST,147.5,42.5,-0.565921,0.714002,-0.565921,0.714002,5.0044,5.0044,5.004402637,"4.76220703125,"
LGM,SST,147.5,52.5,1.96377,0.414261,1.96377,0.414261,2.54765,2.54765,2.547652483,"2.639897346496582,"
LGM,SST,152.5,47.5,1.38182,0.280817,1.38182,0.280817,3.54316,3.89908,3.543160439,"3.633007764816284,"
LGM,SST,152.5,52.5,3.41903,0.748675,3.41903,0.748675,2.77963,2.77963,2.779631615,"3.56795072555542,"
LGM,SST,157.5,-2.5,2.91377,0.494329,2.91377,0.494329,2.61081,2.61081,2.610813141,"2.608631134033203,"
LGM,SST,157.5,2.5,1.52851,0.521207,1.52851,0.521207,2.51511,2.51511,2.515110016,"2.5144195556640625,"
LGM,SST,157.5,32.5,2.47225,0.716154,2.47225,0.716154,3.03718,3.03718,3.037183762,"3.0493125915527344,"
LGM,SST,162.5,37.5,4.9507,0.734812,4.9507,0.734812,4.16929,4.16929,4.169285774,"4.174120903015137,"
LGM,SST,167.5,-42.5,4.83671,0.760247,4.83671,0.760247,2.93495,2.65614,2.93495369,"2.8420724868774414,"
LGM,SST,167.5,42.5,6.00093,0.718373,6.00093,0.718373,5.46504,5.46504,5.46503973,"5.380757808685303,"
LGM,SST,167.5,52.5,0.714069,0.247108,0.714069,0.247108,2.96938,2.96938,2.969377995,"2.983572006225586,"
LGM,SST,167.5,57.5,-4.06753,1.28433,-4.06753,1.28433,2.04346,2.04346,2.043456078,"2.046924352645874,"
LGM,SST,172.5,-47.5,3.6133,0.366176,3.6133,0.366176,3.07634,3.07634,3.076336384,"3.161409854888916,"
LGM,SST,177.5,-47.5,4.15127,0.747982,4.15127,0.747982,3.11313,3.11313,3.113132954,"3.103083610534668,"
LGM,SST,177.5,-42.5,5.76612,0.36778,5.76612,0.36778,2.3265,2.78773,2.326498032,"2.386911392211914,"
LGM,SST,177.5,52.5,2.46513,0.695005,2.46513,0.695005,2.86298,2.86298,2.86298418,"2.8273935317993164,"
EECO,SAT,150.86,-68.07,37.9486,2.8,37.9486,2.8,22.7915,22.7915,22.62283325,"22.79150390625,"
EECO,SAT,129.16,-66.35,28.2082,1.57665,28.2082,1.58001,17.6173,17.6173,17.62112427,"17.6173095703125,"
EECO,SAT,-160.07,-54.9,15.6263,4.47333,15.6263,4.50666,13.3407,13.3407,13.33456421,"13.3406982421875,"
EECO,SAT,11.08,68.87,23.4759,4.09998,23.4759,4.10001,18.3963,18.3963,18.30471802,"18.396331787109375,"
EECO,SAT,121.9,75.23,31.821,4.60001,31.821,3.10001,19.3504,19.3504,19.23205566,"19.35040283203125,"
EECO,SAT,-59.72,-37.24,7.26123,2.10001,7.26123,2.09999,11.191,11.191,10.77664185,"11.19097900390625,"
EECO,SAT,-56.48,-43.09,6.1304,3.24286,6.1304,3.35714,13.2635,13.2635,12.77664185,"13.263458251953125,"
EECO,SAT,-56.5,-42.76,8.25351,2.10001,8.25351,2.1,12.7694,12.7694,12.7694397,"13.272857666015625,"
EECO,SAT,-108.02,55.31,5.39511,2,5.39511,2,15.4729,15.4729,16.53292847,"15.472900390625,"
EECO,SAT,-109.1,54.53,16.113,2.542,16.113,2.53801,17.2204,17.2204,17.69589233,"17.22039794921875,"
EECO,SAT,64.46,4.38,-1.9024,2.80002,-1.9024,2.89999,11.9135,11.9135,11.61508179,"11.913482666015625,"
EECO,SAT,-106.73,55.23,4.24512,2.8,4.24512,2.8,14.1324,14.1324,15.47290039,"14.1324462890625,"
EECO,SAT,-108.45,53.29,13.6377,2,13.6377,2,17.3503,17.3503,17.72982788,"17.35028076171875,"
EECO,SAT,-104.82,54.24,7.17496,3.54,7.17496,3.54,12.6969,12.6969,14.26834106,"12.696929931640625,"
EECO,SAT,-104.63,54.11,7.51495,2,7.51495,2,12.6969,12.6969,14.26834106,"12.696929931640625,"
EECO,SAT,-90.01,34.69,16.3934,5.5,16.3934,5.5,11.1794,11.1794,10.07614136,"11.179351806640625,"
EECO,SAT,-93.24,48.94,22.3705,6.73332,22.3705,5.80001,9.87042,9.87042,8.64932251,"9.87042236328125,"
EECO,SAT,-35.26,78.89,19.4291,5.5,19.4291,5.5,22.397,22.397,22.43598938,"22.397048950195312,"
EECO,SAT,-94.4,47.34,11.98,3.96666,11.98,3.96667,8.93698,8.93698,7.900756836,"8.936981201171875,"
EECO,SAT,-92.44,49.43,13.9512,5.5,13.9512,5.5,11.1456,11.1456,9.782409668,"11.14556884765625,"
EECO,SAT,-94.06,41.5,16.9173,5.5,16.9173,5.5,8.72046,8.72046,7.949920654,"8.720458984375,"
EECO,SAT,-90.26,34.15,12.2934,4.5,12.2934,4.5,11.1794,11.1794,10.07614136,"11.179351806640625,"
EECO,SAT,61.73,-1.28,2.78461,0.240021,2.78461,0.25,7.2359,7.2359,8.425079346,"7.23590087890625,"
EECO,SAT,-162.58,-56.24,25.675,0.649994,25.675,0.660004,13.4998,13.4998,13.54193115,"13.499755859375,"
EECO,SAT,9.92,50.09,23.132,0.649994,23.132,0.650024,14.9804,14.9804,14.9614563,"14.980377197265625,"
EECO,SAT,-113.54,60.8,9.86386,3.60001,9.86386,3.59998,19.3444,19.3444,20.2555542,"19.34442138671875,"
EECO,SAT,-105.57,56.19,7.46814,3.60001,7.46814,3.60001,10.6729,10.6729,12.31768799,"10.6728515625,"
EECO,SAT,-107.09,56.75,11.3681,3.60001,11.3681,3.59998,12.3177,12.3177,13.88830566,"12.31768798828125,"
EECO,SAT,-106.65,55.86,17.0951,3.60001,17.0951,3.60001,14.1324,14.1324,15.47290039,"14.1324462890625,"
EECO,SAT,-108.34,44.04,15.4939,5,15.4939,5,14.6893,14.6893,14.60040283,"14.689300537109375,"
EECO,SAT,-108.21,44.87,11.4939,5,11.4939,5,14.6893,14.6893,14.60040283,"14.689300537109375,"
EECO,SAT,-108.94,45.44,9.2486,5,9.2486,5,15.2194,15.2194,15.24172974,"15.2193603515625,"
EECO,SAT,-108.34,45.37,6.94858,5,6.94858,5,15.2543,15.2543,15.21936035,"15.25433349609375,"
EECO,SAT,-108.23,44.88,3.89386,5,3.89386,5,14.6893,14.6893,14.60040283,"14.689300537109375,"
EECO,SAT,-108.28,45.15,9.44858,5,9.44858,5,15.2543,15.2543,15.21936035,"15.25433349609375,"
EECO,SAT,-74.29,35.07,6.93784,5,6.93784,5,11.7502,11.7502,11.925354,"11.750152587890625,"
EECO,SAT,-108.23,44.94,2.49387,5,2.49387,5,14.6893,14.6893,14.60040283,"14.689300537109375,"
EECO,SAT,-108.23,44.89,10.4939,5,10.4939,5,14.6893,14.6893,14.60040283,"14.689300537109375,"
EECO,SAT,-108.29,45.43,-0.0514221,5,-0.0514221,5,15.2543,15.2543,15.21936035,"15.25433349609375,"
EECO,SAT,160.06,-68.31,36.5653,0.399994,36.5653,0.400024,24.5583,24.5583,24.45983887,"24.558258056640625,"
EECO,SAT,-108.96,45.46,14.7486,5,14.7486,5,15.2194,15.2194,15.24172974,"15.2193603515625,"
EECO,SAT,-108.22,45.5,7.04858,5,7.04858,5,15.2543,15.2543,15.21936035,"15.25433349609375,"
EECO,SAT,-108.28,45.05,7.2486,5,7.2486,5,15.2543,15.2543,15.21936035,"15.25433349609375,"
EECO,SAT,-108.21,45.19,5.64859,5,5.64859,5,15.2543,15.2543,15.21936035,"15.25433349609375,"
EECO,SAT,-108.25,44.99,6.49387,5,6.49387,5,14.6893,14.6893,14.60040283,"14.689300537109375,"
EECO,SAT,-57.12,-25.6,-10.8678,3,-10.8678,3,15.8795,15.8795,14.97784424,"15.879486083984375,"
EECO,SAT,-94.3,48.04,3.5372,4,3.5372,4,8.64932,8.64932,7.510040283,"8.649322509765625,"
EECO,SST,-162.78,-57.05,25.0151,4.45667,25.0151,3.95333,13.6718,13.1078,13.52653503,"13.526535034179688,"
EECO,SST,-108.2,42.36,5.92508,1.18,5.92508,1.6,11.0577,11.0577, nan,"nan,"
EECO,SST,-160.24,-54.88,26.5431,5.88667,26.5431,5.03,12.7594,12.7594,12.83877754,"12.838777542114258,"
EECO,SST,32.65,-16.77,6.05188,4.04,6.05188,4.195,9.34637,9.15549,9.125619888,"9.346372604370117,"
EECO,SST,-59.59,41.69,13.5716,5.865,13.5716,5.875,7.78244,11.0821, nan,"nan,"
EECO,SST,2.7,49.58,16.4034,2.55,16.4034,2.45,12.1698,12.1698,12.18592453,"12.169807434082031,"
EECO,SST,-74.27,34.86,9.11529,5.09,9.11529,4.565,9.32547,10.6639,8.373544693,"8.373544692993164,"
EECO,SST,60.96,1.41,7.84789,2.6,7.84789,2.5,8.37707,10.3071, nan,"nan,"
EECO,SST,1.38,47.37,9.42308,2.8,9.42308,2.7,11.4638,12.2616,12.43081093,"11.463785171508789,"
EECO,SST,-170.33,-63.62,30.3204,4.1,30.3204,4.51,14.025,14.025,15.46346378,"15.46346378326416,"
EECO,SST,-149.88,6.53,7.26052,4.04,7.26052,5.74,9.01131,9.01131,10.79484749,"10.79484748840332,"
EECO,SST,-159.2,-53.9,22.4389,3.6,22.4389,3.73,12.9465,12.9465,12.65294361,"12.65294361114502,"
EECO,SST,-159,-54.1,24.9398,3.65,24.9398,4.2,12.8081,12.8081,12.83877754,"12.838777542114258,"
EECO,SST,129.6,-66.49,34.2557,6.83,34.2557,7.01,16.8834,14.9296, nan,"nan,"
EECO,SST,160.09,-68.31,33.8939,8.47,33.8939,6.86,15.209,14.7573,15.19924927,"15.208993911743164,"
EECO,SST,-31.69,6.06,9.67052,5,9.67052,5,9.01458,9.01458,10.79484749,"10.79484748840332,"
EECO,SST,-8.39,0.66,10.4014,8.05,10.4014,7.54,10.9161,10.1547,11.15625381,"11.156253814697266,"
EECO,SST,71.58,53.6,16.4749,7.05,16.4749,6.16,7.20201,9.7364, nan,"nan,"
EECO,SST,-60.84,40.85,18.6125,8.64,18.6125,7.1,7.78244,11.3134, nan,nan